iter	Passed	Remaining
0	165	165027
1	167	83467
2	169	56263
3	171	42634
4	173	34452
5	175	29053
6	176	25104
7	178	22154
8	180	19848
9	181	17991
10	183	16478
11	184	15209
12	186	14133
13	187	13215
14	189	12420
15	190	11721
16	192	11111
17	193	10573
18	196	10127
19	198	9719
20	199	9315
21	201	8948
22	202	8616
23	204	8312
24	205	8031
25	207	7777
26	209	7532
27	210	7308
28	211	7097
29	213	6903
30	215	6721
31	216	6547
32	217	6385
33	219	6235
34	221	6097
35	222	5964
36	224	5835
37	225	5715
38	227	5600
39	228	5492
40	230	5387
41	231	5288
42	233	5193
43	235	5108
44	236	5020
45	238	4940
46	241	4888
47	242	4819
48	244	4749
49	246	4684
50	248	4619
51	250	4569
52	252	4511
53	254	4452
54	255	4390
55	256	4328
56	258	4270
57	259	4213
58	260	4158
59	262	4105
60	263	4056
61	265	4022
62	267	3977
63	268	3929
64	270	3884
65	271	3839
66	272	3796
67	273	3746
68	274	3705
69	275	3666
70	277	3627
71	279	3606
72	281	3580
73	283	3549
74	285	3517
75	286	3487
76	288	3459
77	290	3431
78	292	3405
79	294	3391
80	296	3369
81	298	3346
82	300	3319
83	302	3293
84	303	3262
85	304	3237
86	305	3208
87	307	3185
88	309	3168
89	311	3146
90	312	3123
91	314	3102
92	315	3080
93	317	3059
94	319	3040
95	320	3018
96	323	3008
97	325	2993
98	327	2983
99	329	2968
100	331	2953
101	332	2929
102	335	2917
103	336	2900
104	339	2890
105	340	2875
106	342	2858
107	346	2862
108	348	2847
109	350	2832
110	351	2818
111	353	2803
112	355	2789
113	356	2772
114	358	2758
115	359	2742
116	361	2730
117	363	2720
118	365	2704
119	369	2707
120	375	2727
121	377	2715
122	378	2699
123	380	2688
124	382	2676
125	384	2670
126	389	2676
127	390	2658
128	391	2644
129	393	2630
130	394	2618
131	396	2605
132	397	2593
133	403	2605
134	404	2593
135	406	2583
136	408	2571
137	409	2557
138	410	2543
139	411	2530
140	413	2518
141	417	2522
142	418	2510
143	420	2500
144	422	2489
145	423	2477
146	424	2465
147	426	2453
148	427	2441
149	430	2439
150	432	2432
151	434	2421
152	435	2412
153	437	2401
154	438	2390
155	439	2379
156	441	2368
157	442	2357
158	443	2348
159	446	2343
160	447	2333
161	449	2323
162	450	2314
163	452	2307
164	453	2297
165	455	2288
166	456	2278
167	460	2282
168	462	2274
169	464	2266
170	465	2257
171	467	2248
172	468	2238
173	469	2229
174	471	2220
175	474	2222
176	476	2214
177	477	2205
178	478	2196
179	480	2187
180	480	2176
181	482	2167
182	483	2158
183	484	2149
184	486	2141
185	490	2144
186	492	2139
187	493	2131
188	495	2124
189	496	2116
190	497	2109
191	499	2101
192	500	2094
193	502	2086
194	505	2086
195	506	2078
196	508	2071
197	509	2063
198	510	2055
199	512	2048
200	513	2040
201	514	2033
202	516	2026
203	519	2026
204	521	2021
205	522	2014
206	524	2008
207	525	2001
208	528	1999
209	530	1995
210	531	1988
211	534	1988
212	536	1981
213	537	1974
214	538	1967
215	540	1961
216	541	1954
217	542	1947
218	544	1941
219	545	1934
220	547	1928
221	548	1923
222	550	1917
223	551	1911
224	553	1904
225	554	1898
226	555	1892
227	556	1885
228	558	1879
229	559	1873
230	561	1867
231	562	1863
232	564	1857
233	565	1851
234	566	1845
235	568	1839
236	569	1833
237	570	1827
238	572	1821
239	573	1816
240	574	1810
241	576	1804
242	577	1800
243	579	1794
244	580	1788
245	581	1783
246	583	1777
247	584	1771
248	585	1766
249	586	1760
250	588	1755
251	589	1749
252	590	1744
253	592	1739
254	593	1734
255	594	1728
256	596	1723
257	597	1718
258	598	1713
259	599	1707
260	601	1702
261	602	1697
262	603	1692
263	605	1687
264	606	1682
265	608	1677
266	609	1672
267	610	1667
268	611	1663
269	613	1658
270	614	1653
271	616	1648
272	617	1643
273	618	1639
274	619	1634
275	621	1629
276	622	1625
277	624	1620
278	625	1616
279	626	1611
280	628	1607
281	629	1602
282	630	1598
283	632	1593
284	633	1589
285	634	1584
286	635	1579
287	637	1575
288	638	1572
289	640	1567
290	641	1563
291	643	1559
292	644	1554
293	645	1550
294	646	1546
295	648	1541
296	649	1538
297	651	1533
298	652	1529
299	653	1525
300	655	1521
301	656	1516
302	657	1512
303	659	1508
304	660	1504
305	661	1500
306	663	1496
307	664	1492
308	665	1488
309	667	1484
310	668	1480
311	669	1476
312	671	1473
313	672	1469
314	673	1465
315	675	1461
316	676	1457
317	677	1453
318	679	1449
319	680	1445
320	681	1441
321	682	1437
322	684	1434
323	685	1430
324	686	1426
325	688	1423
326	689	1419
327	690	1415
328	692	1411
329	693	1408
330	694	1404
331	696	1401
332	697	1397
333	698	1393
334	700	1390
335	701	1386
336	702	1382
337	704	1379
338	705	1375
339	707	1372
340	708	1368
341	709	1365
342	710	1361
343	712	1358
344	713	1354
345	714	1351
346	716	1347
347	717	1344
348	718	1340
349	719	1337
350	721	1333
351	722	1330
352	723	1326
353	725	1323
354	726	1320
355	727	1316
356	729	1313
357	730	1310
358	731	1306
359	733	1303
360	734	1300
361	735	1297
362	737	1293
363	738	1290
364	739	1287
365	741	1283
366	742	1280
367	743	1277
368	745	1274
369	746	1271
370	747	1268
371	749	1264
372	750	1261
373	751	1258
374	753	1255
375	754	1252
376	755	1249
377	757	1246
378	758	1242
379	759	1239
380	761	1236
381	762	1233
382	764	1231
383	766	1228
384	767	1225
385	768	1222
386	770	1219
387	771	1217
388	772	1214
389	774	1211
390	775	1207
391	776	1204
392	778	1201
393	779	1198
394	780	1196
395	782	1193
396	783	1190
397	784	1187
398	786	1184
399	787	1181
400	788	1178
401	790	1175
402	791	1172
403	792	1169
404	794	1166
405	795	1164
406	797	1161
407	798	1158
408	799	1155
409	800	1152
410	802	1149
411	803	1146
412	804	1143
413	806	1141
414	808	1140
415	810	1137
416	811	1135
417	813	1132
418	814	1129
419	816	1127
420	818	1126
421	821	1124
422	822	1122
423	824	1120
424	826	1118
425	828	1116
426	831	1115
427	833	1114
428	835	1111
429	837	1109
430	839	1107
431	841	1105
432	842	1103
433	844	1101
434	846	1099
435	847	1096
436	849	1094
437	850	1091
438	852	1088
439	853	1086
440	855	1083
441	856	1081
442	857	1078
443	859	1076
